0,syn_mean,literally,speak,syno_lower_mean,attitude,index,sensitivity,disgust_mood,hashtag,hashtag,introspection,introspection,polarities,temper,temper,fear_mood,Questioning,Change_direction,Mental_property,Taking,Measure_volume,anniversary,cool,cool,die,die,directorate,lust,face,game,game,jumping,Aggregate,text,text
1,0.27645788336933047,0,0,0.3212669683257918,-0.02,0,-0.023333333333333334,1,0,0,0.0,0,0,-0.005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cant wait sun come 700 humidity,0
0,0.08403691341056353,0,0,0.1104483751542575,0.07727272727272727,1,0.005909090909090914,1,1,0,-0.014999999999999993,0,0,0.08781818181818181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,telangana muslim dalit majority one minority minister. cabinet dominated reddys raos,0
1,0.05615550755939526,0,0,0.04751131221719457,0.0675,2,0.1182,0,0,0,0.047299999999999995,0,2,0.0655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,patiently waiting tomorrows madrid oop surprises. schedulers always generous me...,0
1,0.03347732181425486,0,0,0.035633484162895926,0.0,3,0.0,0,0,0,0.225,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hey yeah. prob dont remember thanks text. lol..,1
0,0.41954643628509725,0,1,0.4428733031674208,0.1383125,4,0.0814375,1,0,0,0.051062500000000004,0,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,without wanting blow ones trumpet speak auld body mine still holds attraction opposite sex proof today,0
1,0.1123110151187905,0,0,0.27828054298642535,0.0,5,0.1524,0,0,0,0.35940000000000005,0,2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,love 12 rec league baseball.,0
1,0.4233261339092873,0,0,0.671945701357466,0.0,6,0.1524,0,0,0,0.1794,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,love last person find everything..,0
1,0.6020933709918591,0,0,0.6693351896971806,0.0,7,0.13846153846153847,0,0,0,0.2076923076923077,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fact thomas took project backs finish time makes us beast!! thanks help members,0
1,0.27645788336933047,0,0,0.6040723981900452,-0.135,8,0.0,1,0,0,-0.13375,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,procrastinating going bed - im tired bedtime ritual.,0
1,0.2602591792656588,0,0,0.31985294117647056,-0.09625,9,0.0040000000000000036,1,1,0,0.112125,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,yes love leave kitchen smelling like fish closeyourlegs,0
0,0.14022262834357868,0,0,0.17333797424295158,0.0,10,0.21384615384615382,0,0,0,0.07184615384615385,0,2,-0.057692307692307696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,im geologist oil company cousin lawyer oil company dad partner environmental law practice.,0
0,0.32325413966882655,0,1,0.31843891402714936,0.071,11,0.051083333333333335,0,0,0,0.13233333333333333,0,2,0.05933333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,portland alright bench starting unit sausages made speak. arent many sensible tweaks.,0
0,0.166066714662827,0,0,0.1892911010558069,-0.2111111111111111,12,-0.15055555555555555,1,1,0,-0.09888888888888889,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,heard someone justifying benefit fraud bankers worse theproblem socialchange,0
0,0.1701279282272803,0,1,0.26209537069265576,0.0,13,0.07638461538461538,0,1,0,0.059153846153846154,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zounds trove things going dotherightthing relevant midgard 25 years later. spikelee master. speak.,0
0,0.3690219068188831,0,0,0.4925662572721396,-0.017142857142857144,14,0.019999999999999987,1,1,0,-0.0050000000000000044,0,2,0.13985714285714287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,takes smart person realize stupidity wisdomteeth wordsthatdescribeme,0
1,0.2517741437827831,0,0,0.23076923076923075,0.10614285714285714,15,-0.1357142857142857,0,1,0,-0.12285714285714286,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,first night summer im already grounded rebel,0
0,0.449244060475162,0,0,0.5503393665158371,0.11516666666666668,16,-0.23358333333333334,1,1,0,-0.2758333333333333,0,0,0.02341666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,make declaration difficulty going bury me. refuse live selfpity. may it’s temporary,0
0,0.09441530391854366,1,0,0.11441499676793794,0.0005,17,0.053,0,0,0,0.03778571428571429,0,2,-0.05142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dad literally worships italians hilarious. piece jewelery clothing equipment etc italian hes already convinced.,0
1,0.3319962974390621,0,0,0.5265029088558499,0.1217142857142857,18,0.12414285714285714,0,0,0,0.12971428571428573,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getting sun glorious spring weather! cass219 nmg4jggufw,0
1,0.30636318325303213,0,0,0.4343891402714932,0.053769230769230764,19,0.015769230769230768,0,1,0,0.08746153846153847,0,2,0.015153846153846155,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,man love body stuck strict 6am time wake every morning cant sleep ever!,0
0,0.4578833693304536,0,0,0.6108597285067873,0.019700000000000006,20,-0.194,1,0,0,-0.14420000000000002,0,0,0.0727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,want start spin class called vicious cycle price anyone poor,0
0,0.10367170626349893,0,0,0.10859728506787329,0.1638,21,0.1476,0,1,0,0.18,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,always remember youre beautiful yeahright,0
1,0.4108471322294217,1,0,0.4645550527903469,0.0,22,0.0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,person literally take back america vote democrat 2008 honda,0
1,0.4684425245980322,0,0,0.72473604826546,0.0,23,0.0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brain completely functioning 8 am. lets go take exam!,0
